name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw,0,0.25,-0.5,0.5,0.221857,0.249983,-0.278108,0.721823
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.954243,0.325215,-1.60467,-0.303813
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.346787,0.212338,-0.077889,0.771464
mk_ring_l1,0,0.325257,-0.650515,0.650515,0.111791,0.325257,-0.538722,0.762305
mk_ring_l2,0,0.25,-0.5,0.5,0.0457571,0.24998,-0.454203,0.545717
mr_rest,0,0.25,-0.5,0.5,0.30103,0.190453,-0.079876,0.681936
mr_upland,0,0.25,-0.5,0.5,-0.69897,0.249871,-1.19871,-0.199228
