name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw,0,0.25,-0.5,0.5,0,0.249962,-0.499923,0.499923
mk_rest_l1,0,0.239652,-0.479304,0.479304,0,0.239604,-0.479208,0.479208
mk_rest_l2,0,0.239652,-0.479304,0.479304,0,0.177148,-0.354296,0.354296
mk_upland_l1,0,0.25,-0.5,0.5,0,0.249993,-0.499987,0.499987
mk_upland_l2,0,0.25,-0.5,0.5,0,0.249739,-0.499478,0.499478
mr_rest,0,0.25,-0.5,0.5,0,0.164536,-0.329072,0.329072
mr_upland,0,0.25,-0.5,0.5,0,0.238064,-0.476128,0.476128
