,mfgw,mk_rest_l1,mk_rest_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
mfgw,0.9999999999999998,0.008532487443353587,0.18291144405791124,0.14464037517737416,0.19375335655350076,0.27332614557655155,-0.4015210739510937
mk_rest_l1,0.008532487443350414,0.9999999999999999,-0.014886585179430605,0.06147022494178238,-0.3328136988662964,0.07342464737988022,-0.16354297826726474
mk_rest_l2,0.1829114440579397,-0.014886585179407441,0.9999999999999998,0.22110252442811865,0.1954805900839881,0.9880967091222382,-0.2592217311477807
mk_upland_l1,0.14464037517736156,0.06147022494178496,0.22110252442802372,1.0000000000000002,-0.7216903464466499,0.2824058701189594,-0.5978470642909771
mk_upland_l2,0.19375335655351744,-0.3328136988662915,0.19548059008404,-0.7216903464466208,1.0,0.15482775485390482,0.09149387119889582
mr_rest,0.27332614557657686,0.07342464737990302,0.9880967091222242,0.28240587011905044,0.154827754853851,0.9999999999999998,-0.37409633488744254
mr_upland,-0.40152107395107944,-0.163542978267268,-0.259221731147665,-0.5978470642909752,0.09149387119892913,-0.37409633488733124,1.0000000000000002
