obsnme,leverage
asm_01,0.0049610333293096795
asm_02,0.0024678322932757523
asm_03,0.0019079825321787777
asm_04,0.0020258937627488723
asm_05,0.0013738734125004963
asm_06,0.0016349122483316665
asm_07,0.0017244285812603294
asm_08,0.004100853609538967
asm_09,0.0
asm_10,0.0
asm_11,0.0
asm_12,0.0014467959687245694
asm_13,0.0013163407479577403
asm_14,0.0012127185477141568
asm_15,0.0014607111445066267
asm_16,0.0017412854207233786
asm_17,0.0012231379938614632
asm_18,0.00256711771887267
asm_19,0.00428591871430086
asm_20,0.0
asm_22,0.003048470776670728
asm_23,0.0036745686753375563
asm_24,0.0051872656105649935
asm_25,0.011313271384738095
asm_27,0.15504178280104697
asm_28,0.015605035766990238
asm_30,0.04419766206718713
asm_32,0.005885240968489458
asm_33,0.004299899468371259
asm_34,0.004299899468371259
asm_35,0.0036333677168578723
asm_36,0.016759357665104266
asm_37,0.011747983164225083
asm_40,0.0018439541959800801
asm_41,0.002784679016473857
asm_42,0.0018100184850791308
asm_43,0.0016349122483316665
asm_44,0.003808891214442303
asm_45,0.004350310183918129
asm_46,0.004075625920552287
aso_1,0.034328586916417374
aso_10,0.0635017724965455
aso_12,0.028836815699564002
aso_13,0.052231272756047234
aso_14,0.12859590801778562
aso_15,0.8441938300365278
aso_16,0.18540747006048272
aso_17,0.39276150515401304
aso_18,0.04732874681776896
aso_19,0.10016132831428484
aso_2,0.07386238256685652
aso_21,0.6906563012925873
aso_22,0.05890318679485432
aso_23,0.13310574233714104
aso_3,0.058706234877846056
aso_37,0.018893106513367033
aso_38,0.0449137140847357
aso_39,0.019617995221767045
aso_4,0.056887864848374776
aso_5,0.08420074340941776
aso_6,0.05582531154436671
aso_7,0.08358116860433878
aso_8,0.02072270098437874
aso_9,0.04485891476728861
b1_baca,0.02543493603764753
b2_motul,0.046524988022039145
b3_sacapuc,0.021619038551602653
b4_timul,0.02280948105924655
conagua,0.10575862666001444
cu01,0.011505927526798288
cu02,0.016353036585985286
cu03,0.011321160470295483
cu04,0.012947127300157886
cu05,0.010331009447037935
cu06,0.00717734702856609
cu07,0.01475801903159798
cu08,0.011049572294093686
cu09,0.009028544481220242
cu10,0.008953585332582106
cu11,0.0059643505186793315
cu12,0.005027819069566847
cu13,0.004995941534463631
cu14,0.004011006847962104
cu15,0.004790069812235723
cu16,0.007459492272729314
cu17,0.004345558551625035
cu18,0.005993848410962472
cu19,0.005993848410962472
cu20,0.005993848410962472
mi1_siglo_xx1,0.0280306764568324
mi2_tho_o,0.023073195109969573
mi3_hacienda_x_luch,0.024607556763696817
mp1_fiuady,0.06098123643558557
mp2_komchen,0.03434683531251114
mp3_predeco,0.033182588071150175
mp4_contenedores,0.025020883421955836
observatorio,0.12820797167298006
p1_celest_n,0.09042310341125727
p2_chunchucmil,0.3406278156006522
p3_amaris_ii,0.058730398930237133
p4_nohuayun,0.07424811782849629
p5_sisal,0.07299736217356914
p6_tamchen,0.06070052089102436
rm01_deportivo_sur,0.04602384817855505
rm02_obervatorio,0.07914878342032362
rm03_acuaparque,0.04528477773533553
rm04_bomberos,0.03840191931531996
rm05_portes_gil,0.02644740401998536
rm06_chalmuch,0.01837402217365484
rm07_anicabil,0.04781607729448506
rm08_chenku,0.04419842177147374
rm09_tecnologico,0.02925254262421171
rm11ucu,0.019324534329566368
rm12cheuman,0.024334670843618973
rm13tixcuytun,0.01618688294541204
rm14megalita,0.01604407552401561
rm15sierra_papacal,0.01916033672988091
rm18_sac_nicte,0.010604877237270615
rm_10_sagarpa,0.02292119564231178
rm_16_rancho,0.008433260148412511
rm_17_dzidzilche,0.0210325263344442
rm_19_crio,0.01613057962917453
rm_20_baag,0.0285235587332338
w_1a_plantel_sn_juan,0.06800934359358185
w_1b_san_eduardo,0.08913078404044192
w_1c_quinta_rosario,0.06807686847812927
w_2a_dzilam_bravo,0.033605743097254934
w_2b_dzilam_glez,0.1004500283099478
w_2c_san_gregorio,0.10144461051444426
w_3a_san_felipe,0.087567759908086
w_3b_santa_pilar,0.07323024069236128
w_3c_san_isidro,0.15336262273007673
w_4a_la_curva,0.0002871938675150457
w_4b_moctezuma,0.15875452931615566
w_4c_vista_hermosa,0.3805738981296894
