name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw,0,0.25,-0.5,0.5,0.221857,0.249974,-0.278091,0.721806
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.923142,0.325191,-1.57352,-0.27276
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.264395,0.213544,-0.162694,0.691484
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.0576016,0.325256,-0.708114,0.592911
mk_ring_l2,0,0.25,-0.5,0.5,-0.223825,0.249974,-0.723772,0.276123
mk_upland_l1,0,0.305462,-0.610924,0.610924,-0.253917,0.305459,-0.864834,0.357001
mk_upland_l2,0,0.305462,-0.610924,0.610924,-0.509384,0.305423,-1.12023,0.101462
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.18182,-0.108367,0.618912
mr_upland,0,0.238561,-0.477121,0.477121,-0.69897,0.238255,-1.17548,-0.22246
