iteration,_is_super,_lambda,_scale_factor,mfgw,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
3,0,0.1,1,1.66667,0.111111,1.35984,0.87541,0.309717,0.325726,0.3,1.8,0.2
3,0,0.1,0.75,1.61905,0.126879,1.48345,0.875401,0.37128,0.379185,0.321093,1.8,0.209615
3,0,0.1,1.1,1.66667,0.111111,1.31333,0.875413,0.288052,0.306515,0.3,1.8,0.2
3,0,1,1,1.66667,0.111111,1.76731,0.875656,0.59046,0.552426,0.3,1.8,0.2
3,0,1,0.75,1.61905,0.126879,1.80568,0.875586,0.60238,0.563531,0.321093,1.8,0.209615
3,0,1,1.1,1.66667,0.111111,1.75219,0.875684,0.585758,0.548045,0.3,1.8,0.2
3,0,10,1,1.54279,0.17785,1.84171,0.875324,0.634025,0.593324,0.381208,1.8,0.212471
3,0,10,0.75,1.52793,0.180557,1.8624,0.875337,0.635415,0.59454,0.384292,1.8,0.219344
3,0,10,1.1,1.54877,0.176779,1.8335,0.875319,0.63347,0.592838,0.379982,1.8,0.209782
3,0,100,1,1.48949,0.187699,1.86862,0.875309,0.638729,0.597728,0.392463,1.8,0.238508
3,0,100,0.75,1.48816,0.188005,1.88277,0.875326,0.638948,0.597847,0.392771,1.8,0.239209
3,0,100,1.1,1.49002,0.187577,1.86299,0.875302,0.638641,0.597681,0.39234,1.8,0.238228
3,0,1000,1,1.48463,0.188784,1.90986,0.875357,0.639452,0.598159,0.393579,1.8,0.241094
3,0,1000,0.75,1.48452,0.188819,1.91385,0.875362,0.63949,0.59817,0.393608,1.8,0.241152
3,0,1000,1.1,1.48467,0.18877,1.90827,0.875355,0.639436,0.598155,0.393567,1.8,0.241071
4,0,0.01,1,1.66667,0.111111,0.180568,0.878316,0.111111,0.3,0.3,0.326654,0.2
4,0,0.01,0.75,1.65462,0.114859,0.321101,0.877633,0.169545,0.351213,0.30514,0.500477,0.202362
4,0,0.01,1.1,1.66667,0.111111,0.143431,0.87859,0.111111,0.3,0.3,0.275404,0.2
4,0,0.1,1,1.66667,0.111111,1.41324,0.871765,0.286244,0.3,0.3,1.8,0.2
4,0,0.1,0.75,1.65462,0.114859,1.50252,0.872719,0.344762,0.351213,0.30514,1.8,0.202362
4,0,0.1,1.1,1.66667,0.111111,1.37902,0.871384,0.265719,0.3,0.3,1.8,0.2
4,0,1,1,1.66667,0.111111,1.77566,0.876742,0.555976,0.511169,0.3,1.8,0.2
4,0,1,0.75,1.65462,0.114859,1.78312,0.876453,0.56723,0.523784,0.30514,1.8,0.202362
4,0,1,1.1,1.66667,0.111111,1.77269,0.876858,0.551537,0.506208,0.3,1.8,0.2
4,0,10,1,1.66667,0.120025,1.83523,0.875769,0.597739,0.557857,0.310507,1.8,0.2
4,0,10,0.75,1.65462,0.121703,1.8278,0.875723,0.598896,0.55927,0.313121,1.8,0.202362
4,0,10,1.1,1.66667,0.11936,1.83821,0.875787,0.597276,0.557293,0.309468,1.8,0.2
4,0,100,1,1.62552,0.126195,1.82658,0.875628,0.602028,0.562951,0.320003,1.79268,0.206977
4,0,100,0.75,1.62389,0.126366,1.82134,0.875618,0.602116,0.563096,0.320275,1.79451,0.207634
4,0,100,1.1,1.62618,0.126127,1.82869,0.875633,0.601993,0.562894,0.319894,1.79195,0.206715
4,0,1000,1,1.6197,0.126816,1.81236,0.875596,0.602375,0.563471,0.32098,1.79395,0.209331
4,0,1000,0.75,1.61952,0.126832,1.81069,0.875594,0.602376,0.563486,0.321009,1.79546,0.209402
4,0,1000,1.1,1.61977,0.126809,1.81303,0.875597,0.602374,0.563465,0.320969,1.79334,0.209303
