name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.000111428,0.24999,-0.499869,0.500092
mfgw_upland,0,0.25,-0.5,0.5,-0.0189471,0.249995,-0.518937,0.481043
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.0400954,0.32321,-0.686515,0.606324
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.133099,0.226205,-0.319311,0.585508
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.176335,-0.0973976,0.607943
mr_upland,0,0.238561,-0.477121,0.477121,-0.564903,0.238254,-1.04141,-0.0883952
