name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.00222394,0.249987,-0.49775,0.502198
mfgw_upland,0,0.25,-0.5,0.5,-0.0079681,0.249991,-0.507951,0.492015
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.0184742,0.323596,-0.665666,0.628718
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.137979,0.225543,-0.313106,0.589065
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.176515,-0.0977583,0.608303
mr_upland,0,0.238561,-0.477121,0.477121,-0.463787,0.238087,-0.939961,0.0123861
