name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.0123261,0.24999,-0.487655,0.512307
mfgw_upland,0,0.25,-0.5,0.5,-0.0145435,0.249995,-0.514533,0.485446
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.0539263,0.32321,-0.700346,0.592493
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.131818,0.226204,-0.32059,0.584226
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.176335,-0.0973973,0.607942
mr_upland,0,0.238561,-0.477121,0.477121,-0.644361,0.238254,-1.12087,-0.167853
