name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.00355375,0.249978,-0.496402,0.50351
mfgw_upland,0,0.25,-0.5,0.5,-0.00146155,0.24998,-0.501421,0.498498
mk_rest_l1,0,0.325257,-0.650515,0.650515,0.0125569,0.323509,-0.63446,0.659574
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.110808,0.226278,-0.341747,0.563364
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.175316,-0.09536,0.605905
mr_upland,0,0.238561,-0.477121,0.477121,-0.328931,0.237697,-0.804326,0.146464
