iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mk_upland_l1,mk_upland_l2,mr_rest,mr_upland
3,0,0.1,0.75,1.62072,0.830589,0.1269,1.41603,0.789572,0.30751,0.358077,0.321251,1.8,0.20967
3,0,0.1,1.1,1.66667,0.830589,0.111111,1.22889,0.826572,0.228043,0.3,0.3,1.8,0.2
3,0,1,1,1.66667,0.830589,0.111111,1.74646,0.731535,0.527202,0.52835,0.3,1.8,0.2
3,0,1,0.75,1.62072,0.830589,0.1269,1.78799,0.727561,0.540762,0.539148,0.321251,1.8,0.20967
3,0,1,1.1,1.66667,0.830589,0.111111,1.73012,0.733131,0.521874,0.524092,0.3,1.8,0.2
3,0,10,1,1.56801,0.830589,0.177902,1.8308,0.717334,0.577149,0.568143,0.381269,1.8,0.211975
3,0,10,0.75,1.54823,0.830589,0.180626,1.85236,0.716942,0.578747,0.569325,0.384527,1.8,0.219016
3,0,10,1.1,1.576,0.830589,0.176824,1.82224,0.71749,0.576511,0.567672,0.379974,1.8,0.209222
3,0,100,1,1.49722,0.830589,0.187813,1.8595,0.715861,0.582625,0.572424,0.393169,1.8,0.238687
3,0,100,0.75,1.4955,0.830589,0.188122,1.8741,0.715837,0.582861,0.572539,0.393494,1.8,0.239406
3,0,100,1.1,1.49791,0.830589,0.18769,1.8537,0.71587,0.582531,0.572378,0.39304,1.8,0.2384
3,0,1000,1,1.49089,0.830589,0.188908,1.90215,0.715764,0.583413,0.572841,0.394348,1.8,0.241339
3,0,1000,0.75,1.49075,0.830589,0.188943,1.90625,0.715765,0.583452,0.572851,0.394378,1.8,0.241398
3,0,1000,1.1,1.49094,0.830589,0.188893,1.90052,0.715763,0.583397,0.572836,0.394336,1.8,0.241316
4,0,0.01,1,1.66667,0.830589,0.111111,0.178799,0.727356,0.528602,0.53892,0.3,0.285671,0.2
4,0,0.01,0.75,1.65506,0.830589,0.114864,0.317954,0.727407,0.531616,0.538977,0.305177,0.452604,0.202375
4,0,0.01,1.1,1.66667,0.830589,0.111111,0.142025,0.727336,0.527402,0.538897,0.3,0.237643,0.2
4,0,0.1,1,1.66667,0.830589,0.111111,1.3095,0.772681,0.286243,0.3,0.3,1.8,0.2
4,0,0.1,0.75,1.65506,0.830589,0.114864,1.41553,0.761145,0.335585,0.34735,0.305177,1.8,0.202375
4,0,0.1,1.1,1.66667,0.830589,0.111111,1.26934,0.777344,0.268601,0.3,0.3,1.8,0.2
4,0,1,1,1.66667,0.830589,0.111111,1.7522,0.735956,0.503452,0.493488,0.3,1.8,0.2
4,0,1,0.75,1.65506,0.830589,0.114864,1.76108,0.733848,0.512531,0.504527,0.305177,1.8,0.202375
4,0,1,1.1,1.66667,0.830589,0.111111,1.74866,0.736801,0.499866,0.48914,0.3,1.8,0.2
4,0,10,1,1.66667,0.830589,0.119965,1.82314,0.728503,0.5371,0.534218,0.31066,1.8,0.2
4,0,10,0.75,1.65506,0.830589,0.121663,1.81429,0.728268,0.538013,0.535446,0.313274,1.8,0.202375
4,0,10,1.1,1.66667,0.830589,0.119293,1.82669,0.728597,0.536735,0.533727,0.30962,1.8,0.2
4,0,100,1,1.6305,0.830589,0.126207,1.80938,0.727678,0.540501,0.538644,0.32016,1.78735,0.206983
4,0,100,0.75,1.62805,0.830589,0.12638,1.804,0.727648,0.540566,0.53877,0.320433,1.79051,0.207651
4,0,100,1.1,1.63148,0.830589,0.126138,1.81153,0.727689,0.540475,0.538593,0.320052,1.78609,0.206716
4,0,1000,1,1.62179,0.830589,0.126837,1.79575,0.72758,0.540769,0.539095,0.321138,1.7921,0.209376
4,0,1000,0.75,1.62153,0.830589,0.126853,1.79381,0.727575,0.540768,0.539108,0.321166,1.79407,0.209449
4,0,1000,1.1,1.6219,0.830589,0.126831,1.79653,0.727581,0.54077,0.53909,0.321126,1.79131,0.209346
