name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw_rest,0,0.25,-0.5,0.5,0.0204122,0.249961,-0.479511,0.520335
mfgw_upland,0,0.25,-0.5,0.5,6.04112e-07,0.25,-0.499999,0.5
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.0191525,0.32511,-0.669372,0.631067
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.165678,0.215619,-0.26556,0.596917
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.000524709,0.325255,-0.651036,0.649986
mk_ring_l2,0,0.25,-0.5,0.5,-0.000240997,0.249979,-0.5002,0.499718
mk_upland_l1,0,0.305462,-0.610924,0.610924,-0.00727146,0.305456,-0.618183,0.60364
mk_upland_l2,0,0.305462,-0.610924,0.610924,-0.0418871,0.305281,-0.652449,0.568674
mr_rest,0,0.238561,-0.477121,0.477121,0.209026,0.178583,-0.14814,0.566192
mr_upland,0,0.238561,-0.477121,0.477121,-0.349972,0.237411,-0.824795,0.124851
