obsnme,leverage
asm_01,0.006945881388960469
asm_02,0.013259962388877273
asm_03,0.02107663245642171
asm_04,0.002999067612652467
asm_05,0.0021145777757463303
asm_06,0.0016018312026820595
asm_07,0.0009339946821581577
asm_08,0.002861522205620309
asm_09,0.0
asm_10,0.0
asm_11,0.0
asm_12,0.0006883892718767047
asm_13,0.0013545353663117702
asm_14,0.0014460782456843936
asm_15,0.012831339851761856
asm_16,0.0031086359196283112
asm_17,0.0017517385181898733
asm_18,0.0016651268366366474
asm_19,0.0026003854640982136
asm_20,0.0
asm_22,0.007179438194681892
asm_23,0.004682875194292135
asm_24,0.005599765919403983
asm_25,0.015376453798101875
asm_27,0.2576359083424073
asm_28,0.02330032556249575
asm_30,0.04655631564077113
asm_32,0.006709542667512613
asm_33,0.003930479664907621
asm_34,0.003930479664907621
asm_35,0.0032046218056775697
asm_36,0.016441695657635726
asm_37,0.013938852419280359
asm_40,0.0026614634329953264
asm_41,0.0033912425555484194
asm_42,0.00223410263075677
asm_43,0.0016018312026820595
asm_44,0.003913299260471962
asm_45,0.0035369239216999533
asm_46,0.008965399867536462
aso_1,0.047106150336473994
aso_10,0.05923872193009792
aso_12,0.04248564759334648
aso_13,0.1030648564646359
aso_14,0.1387643706198438
aso_15,0.851881428105203
aso_16,0.21444869594903593
aso_17,0.5900962985340056
aso_18,0.05650284499540481
aso_19,0.10333127423146633
aso_2,0.10641833394264967
aso_21,0.8931363021626171
aso_22,0.1761310761185473
aso_23,0.24148278560935715
aso_3,0.07220418041156847
aso_37,0.01762475973723567
aso_38,0.03927446661927321
aso_39,0.022439561338410678
aso_4,0.06084267676574341
aso_5,0.07702767387281327
aso_6,0.06701599761307252
aso_7,0.10717908439134095
aso_8,0.023261590688653817
aso_9,0.05968846431402172
b1_baca,0.044107430999094595
b2_motul,0.07611291377771574
b3_sacapuc,0.024820044756644757
b4_timul,0.022109680629544576
conagua,0.15882973437683365
cu01,0.00898872452139119
cu02,0.021274295921406523
cu03,0.01680068453539046
cu04,0.025679969356417667
cu05,0.01940865171611427
cu06,0.007958832036380906
cu07,0.020295192799297944
cu08,0.011903237508512061
cu09,0.011244510480934273
cu10,0.012543554515937874
cu11,0.008209094547577964
cu12,0.0062058282293153974
cu13,0.009080016082195311
cu14,0.006669365952969573
cu15,0.0025944244838045786
cu16,0.0066351690664382505
cu17,0.0019498345759976334
cu18,0.007111635014796289
cu19,0.007111635014796289
cu20,0.007111635014796289
mi1_siglo_xx1,0.049778034076280016
mi2_tho_o,0.02876229251460039
mi3_hacienda_x_luch,0.019659604417128943
mp1_fiuady,0.14330687097808234
mp2_komchen,0.052864444393665756
mp3_predeco,0.015547953381931405
mp4_contenedores,0.014767588540822779
observatorio,0.16679069446902892
p1_celest_n,0.12938999628228584
p2_chunchucmil,0.385606357298235
p3_amaris_ii,0.11865730934733718
p4_nohuayun,0.09767625607606491
p5_sisal,0.0856615665544727
p6_tamchen,0.0923199957668372
rm01_deportivo_sur,0.03595500595043775
rm02_obervatorio,0.10296770458805231
rm03_acuaparque,0.06720293975012212
rm04_bomberos,0.054973379801618295
rm05_portes_gil,0.04968618565790842
rm06_chalmuch,0.020374625294107756
rm07_anicabil,0.06575655618277436
rm08_chenku,0.0476130928731529
rm09_tecnologico,0.0364322868227629
rm11ucu,0.02659751952915889
rm12cheuman,0.030036241396699335
rm13tixcuytun,0.1251687660237146
rm14megalita,0.026677543844412083
rm15sierra_papacal,0.010377729068367522
rm18_sac_nicte,0.012572912547670885
rm_10_sagarpa,0.032111523644462
rm_16_rancho,0.005496114839947934
rm_17_dzidzilche,0.009437209642968748
rm_19_crio,0.010486348906984154
rm_20_baag,0.018501427797376756
sgd_002,0.005842264064254162
sgd_003,0.0016098865782826644
sgd_004,1.3043772058052725e-05
sgd_005,0.0004618562481291476
sgd_006,4.084410774788789e-05
sgd_007,0.0002857747317700161
sgd_008,0.00024091700690838358
sgd_009,0.00017045708828474347
sgd_010,0.0013994477994873154
sgd_011,0.0005522192838145956
sgd_012,4.094980316135503e-05
sgd_013,0.004343032938328943
sgd_014,0.0
sgd_015,0.0013969421921848255
sgd_016,0.0012065162605348241
sgd_017,0.0005262887016059499
sgd_018,0.001562350272934795
sgd_019,0.002262245128253461
sgd_020,0.012895843096862059
sgd_021,0.010018503388250204
sgd_022,1.88538670231782e-05
w_1a_plantel_sn_juan,0.07159271904060269
w_1b_san_eduardo,0.11252261948151682
w_1c_quinta_rosario,0.1014108659670533
w_2a_dzilam_bravo,0.007784953809056292
w_2b_dzilam_glez,0.2566808737477202
w_2c_san_gregorio,0.22267292178018763
w_3a_san_felipe,0.07352452972307105
w_3b_santa_pilar,0.27015495894747443
w_3c_san_isidro,0.5281573830776518
w_4a_la_curva,0.00015745338043538393
w_4b_moctezuma,0.25763652374562784
w_4c_vista_hermosa,0.6361678278564648
