,mfgw,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mr_rest,mr_upland
mfgw,0.9999999999999998,0.11536859914408544,-0.2709568211137409,0.6479226345711301,-0.4704945646462346,-0.09070334063525431,-0.11183660710317543
mk_rest_l1,0.11536859914409058,0.9999999999999998,-0.22332566097785253,0.22977221704293918,-0.23467888160657818,-0.006975041001848736,-0.42942959799169794
mk_rest_l2,-0.27095682111382513,-0.22332566097784096,1.0,0.045437428872377894,-0.18291594290200658,0.9382250085939854,0.7639799459619095
mk_ring_l1,0.6479226345711016,0.22977221704292863,0.04543742887250366,0.9999999999999998,-0.9372335233297883,0.11898454607475786,0.1942549707616371
mk_ring_l2,-0.47049456464620354,-0.23467888160656666,-0.18291594290210506,-0.9372335233297722,1.0000000000000002,-0.18002756679400772,-0.2492471504614632
mr_rest,-0.09070334063534462,-0.006975041001835029,0.9382250085939939,0.11898454607463,-0.18002756679390966,0.9999999999999998,0.6231492787669124
mr_upland,-0.1118366071032442,-0.4294295979916967,0.76397994596196,0.19425497076154646,-0.24924715046139503,0.623149278766959,1.0
