time,elapsed_seconds,message
23:22:06,7.6e-06,S info: rows = 7: cols = 7: size = 49: nonzeros = 7Vt info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,6.1e-06,U info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,6e-06,jac info: rows = 135: cols = 7: size = 945: nonzeros = 917
23:22:06,5.46e-05,linear algebra multiplication to compute upgrade complete
23:22:06,1.72e-05,commencing check of parameter bounds and gradients
23:22:06,7.3e-06,commencing calculation of upgrade vector
23:22:06,0.0002323,forming JtQJ matrix
23:22:06,4.42e-05,commencing to scale JtQJ matrix- first SVD...
23:22:06,6.1e-06,starting REDSVD
23:22:06,1.78e-05,retrieving REDSVD components
23:22:06,7.5e-06,trimming REDSVD components to 6elements
23:22:06,6.4e-06,done REDSVD
23:22:06,1.03e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,4.8e-06,JS
23:22:06,1.15e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
23:22:06,3.49e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,5.4e-06,commencing SVD factorization of lambda-scaled JtQJ
23:22:06,4.6e-06,starting REDSVD
23:22:06,1.92e-05,retrieving REDSVD components
23:22:06,7.1e-06,trimming REDSVD components to 7elements
23:22:06,6e-06,done REDSVD
23:22:06,5.3e-06,SVD factorization complete
23:22:06,9.24e-05,commencing linear algebra multiplication to compute upgrade
23:22:06,6.2e-06,S info: rows = 7: cols = 7: size = 49: nonzeros = 7Vt info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,5.9e-06,U info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,5.7e-06,jac info: rows = 135: cols = 7: size = 945: nonzeros = 917
23:22:06,4.96e-05,linear algebra multiplication to compute upgrade complete
23:22:06,1.54e-05,commencing check of parameter bounds
23:22:06,6.4e-06,limiting out of bounds pars
23:22:06,8.9e-06,change limit/bound enforcement for lambda 1: , scaling factor: 1
23:22:06,5e-06,checking for denormal floating point values
23:22:06,5.3e-06,transforming upgrade pars to model pars
23:22:06,5.2e-06,writing upgrade vector to csv file
23:22:06,0.0002526,beginning upgrade vector calculations, lambda = 10
23:22:06,0.0001115,commencing calculation of upgrade vector
23:22:06,0.000279,forming JtQJ matrix
23:22:06,5.32e-05,commencing to scale JtQJ matrix- first SVD...
23:22:06,8.2e-06,starting REDSVD
23:22:06,2.05e-05,retrieving REDSVD components
23:22:06,8.5e-06,trimming REDSVD components to 6elements
23:22:06,6.9e-06,done REDSVD
23:22:06,1.49e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,5.4e-06,JS
23:22:06,1.93e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
23:22:06,4.57e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,6.4e-06,commencing SVD factorization of lambda-scaled JtQJ
23:22:06,4.8e-06,starting REDSVD
23:22:06,1.98e-05,retrieving REDSVD components
23:22:06,7.7e-06,trimming REDSVD components to 7elements
23:22:06,5.9e-06,done REDSVD
23:22:06,4.8e-06,SVD factorization complete
23:22:06,9.49e-05,commencing linear algebra multiplication to compute upgrade
23:22:06,6.4e-06,S info: rows = 7: cols = 7: size = 49: nonzeros = 7Vt info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,5.9e-06,U info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,5.9e-06,jac info: rows = 135: cols = 7: size = 945: nonzeros = 917
23:22:06,4.49e-05,linear algebra multiplication to compute upgrade complete
23:22:06,2.1e-05,commencing check of parameter bounds and gradients
23:22:06,7.6e-06,commencing calculation of upgrade vector
23:22:06,0.0002392,forming JtQJ matrix
23:22:06,4.56e-05,commencing to scale JtQJ matrix- first SVD...
23:22:06,6e-06,starting REDSVD
23:22:06,1.75e-05,retrieving REDSVD components
23:22:06,7.8e-06,trimming REDSVD components to 6elements
23:22:06,6.1e-06,done REDSVD
23:22:06,9.8e-06,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,4.7e-06,JS
23:22:06,2.07e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
23:22:06,3.75e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,5.7e-06,commencing SVD factorization of lambda-scaled JtQJ
23:22:06,4.7e-06,starting REDSVD
23:22:06,1.89e-05,retrieving REDSVD components
23:22:06,6.9e-06,trimming REDSVD components to 7elements
23:22:06,5.7e-06,done REDSVD
23:22:06,4.8e-06,SVD factorization complete
23:22:06,9.23e-05,commencing linear algebra multiplication to compute upgrade
23:22:06,6.2e-06,S info: rows = 7: cols = 7: size = 49: nonzeros = 7Vt info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,6.1e-06,U info: rows = 7: cols = 7: size = 49: nonzeros = 49
23:22:06,5.7e-06,jac info: rows = 135: cols = 7: size = 945: nonzeros = 917
23:22:06,4.96e-05,linear algebra multiplication to compute upgrade complete
23:22:06,1.45e-05,commencing check of parameter bounds
23:22:06,6.2e-06,limiting out of bounds pars
23:22:06,8.9e-06,change limit/bound enforcement for lambda 10: , scaling factor: 1
23:22:06,5e-06,checking for denormal floating point values
23:22:06,5.5e-06,transforming upgrade pars to model pars
23:22:06,5.1e-06,writing upgrade vector to csv file
23:22:06,0.0004241,beginning upgrade vector calculations, lambda = 100
23:22:06,8.24e-05,commencing calculation of upgrade vector
23:22:06,0.0002654,forming JtQJ matrix
23:22:06,4.52e-05,commencing to scale JtQJ matrix- first SVD...
23:22:06,6.7e-06,starting REDSVD
23:22:06,1.94e-05,retrieving REDSVD components
23:22:06,7.9e-06,trimming REDSVD components to 6elements
23:22:06,6.3e-06,done REDSVD
23:22:06,1.11e-05,S info: rows = 7: cols = 7: size = 49: nonzeros = 7
23:22:06,4.9e-06,JS
