obsnme,leverage
asm_01,0.005614944877463477
asm_02,0.004572404151431908
asm_03,0.007393540023917674
asm_04,0.002156920115893946
asm_05,0.0022898164531977784
asm_06,0.0014013057856142412
asm_07,0.0008130254869833937
asm_08,0.0038266007388875344
asm_09,0.0
asm_10,0.0
asm_11,0.0
asm_12,0.0010780795633659086
asm_13,0.0013158722787570938
asm_14,0.001326664933017223
asm_15,0.008468650929076286
asm_16,0.0032533226640683176
asm_17,0.0012537882957614948
asm_18,0.0018037928213955345
asm_19,0.003241730470223483
asm_20,0.0
asm_22,0.007234856544836535
asm_23,0.003630481237120163
asm_24,0.004158727140372493
asm_25,0.006434472239961523
asm_27,0.08942575986151984
asm_28,0.008989726064141923
asm_30,0.02948703003544971
asm_32,0.004312560707991036
asm_33,0.0034232463704117625
asm_34,0.0034232463704117625
asm_35,0.0030431078001323542
asm_36,0.016255068831907672
asm_37,0.014343046508625192
asm_40,0.0022820974190200243
asm_41,0.0026421173233215616
asm_42,0.0017469326284734546
asm_43,0.0014013057856142412
asm_44,0.0031699719029052603
asm_45,0.0035937204613772354
asm_46,0.005169460262065617
aso_1,0.045625592309119875
aso_10,0.05642059858213565
aso_12,0.03989671668538831
aso_13,0.08020404600596735
aso_14,0.11295771271814824
aso_15,0.0954111300075681
aso_16,0.09882245998476376
aso_17,0.1362412484182766
aso_18,0.05371820586337126
aso_19,0.08616452045189342
aso_2,0.08148011475518584
aso_21,0.25081743723784505
aso_22,0.13774983887315556
aso_23,0.10306375099363994
aso_3,0.07962449871154557
aso_37,0.01678630905331269
aso_38,0.03442793514762553
aso_39,0.019907907726550232
aso_4,0.05305887528353299
aso_5,0.0634140549996255
aso_6,0.07519658011419955
aso_7,0.08045462936929644
aso_8,0.037764100026666594
aso_9,0.07019994157926336
b1_baca,0.021393838858552547
b2_motul,0.05482630924197994
b3_sacapuc,0.02308842830304422
b4_timul,0.022776290514624355
conagua,0.09389969358873963
cu01,0.008839158469455917
cu02,0.014857339989713857
cu03,0.01209885519441465
cu04,0.01705659801460032
cu05,0.014305642965951652
cu06,0.007152288009336538
cu07,0.01148864136262661
cu08,0.00975395972368762
cu09,0.010488636515482479
cu10,0.01017345682130821
cu11,0.006936402308403
cu12,0.004852580929471928
cu13,0.00800446738678845
cu14,0.004613046610469061
cu15,0.002258399613703449
cu16,0.005513360887713697
cu17,0.00181278493550276
cu18,0.007317855781909224
cu19,0.007317855781909224
cu20,0.007317855781909224
mi1_siglo_xx1,0.032516776098745724
mi2_tho_o,0.019158093130017522
mi3_hacienda_x_luch,0.017875427803653872
mp1_fiuady,0.06630212854992698
mp2_komchen,0.05724541132994437
mp3_predeco,0.020548369506623185
mp4_contenedores,0.019046271664747847
observatorio,0.11648169528152583
p1_celest_n,0.11316272326442756
p2_chunchucmil,0.3433355128114275
p3_amaris_ii,0.24326420094563064
p4_nohuayun,0.0924485646208292
p5_sisal,0.14798879931053693
p6_tamchen,0.08685808728675448
rm01_deportivo_sur,0.03535673994791092
rm02_obervatorio,0.07190960399706549
rm03_acuaparque,0.04839556596417909
rm04_bomberos,0.049292188293717155
rm05_portes_gil,0.036622473459707205
rm06_chalmuch,0.018309871036313145
rm07_anicabil,0.037223272461420674
rm08_chenku,0.03901595594247394
rm09_tecnologico,0.03398325027663249
rm11ucu,0.022473988427179563
rm12cheuman,0.023486517320305995
rm13tixcuytun,0.043890894378252436
rm14megalita,0.01845224179853415
rm15sierra_papacal,0.009033625555656675
rm18_sac_nicte,0.011784063098072313
rm_10_sagarpa,0.026044068995607808
rm_16_rancho,0.004533719919496202
rm_17_dzidzilche,0.008773888659350514
rm_19_crio,0.008678429110793855
rm_20_baag,0.020042162502097904
w_1a_plantel_sn_juan,0.08794130152602526
w_1b_san_eduardo,0.13836398792462937
w_1c_quinta_rosario,0.08747372441498422
w_2a_dzilam_bravo,0.012186537746896577
w_2b_dzilam_glez,0.3767696655215736
w_2c_san_gregorio,0.37664966982111386
w_3a_san_felipe,0.030387141787838794
w_3b_santa_pilar,0.1493063106372501
w_3c_san_isidro,0.3399663617395968
w_4a_la_curva,0.00021083489195457795
w_4b_moctezuma,0.26311613203223017
w_4c_vista_hermosa,0.632564401633339
