parnme,parval1
mk_upland_l1,0.563465119897
mk_upland_l2,0.320969231449
mk_ring_l1,0.8755974343
mk_ring_l2,0.6023739134
mk_rest_l1,0.1268093105
mk_rest_l2,1.8130310010
mr_upland,0.209302610
mr_rest,1.7933446
mfgw,1.6198
