name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
mfgw,0,0.25,-0.5,0.5,0.171492,0.24998,-0.328468,0.671452
mk_rest_l1,0,0.325257,-0.650515,0.650515,-0.723711,0.325182,-1.37407,-0.0733468
mk_rest_l2,0,0.325257,-0.650515,0.650515,0.284627,0.213424,-0.142222,0.711475
mk_ring_l1,0,0.325257,-0.650515,0.650515,-0.057805,0.325256,-0.708318,0.592708
mk_ring_l2,0,0.25,-0.5,0.5,-0.194088,0.249975,-0.694039,0.305862
mk_upland_l1,0,0.305462,-0.610924,0.610924,-0.223151,0.30546,-0.834071,0.387769
mk_upland_l2,0,0.305462,-0.610924,0.610924,-0.404841,0.305427,-1.01569,0.206012
mr_rest,0,0.238561,-0.477121,0.477121,0.255273,0.182395,-0.109518,0.620063
mr_upland,0,0.238561,-0.477121,0.477121,-0.617397,0.238227,-1.09385,-0.140942
