iteration,_is_super,_lambda,_scale_factor,mfgw_rest,mfgw_upland,mk_rest_l1,mk_rest_l2,mk_ring_l1,mk_ring_l2,mr_rest,mr_upland
3,0,1000,1.1,1.21023,1,0.474251,1.83838,0.976378,0.916195,1.78286,0.2
4,0,0.1,1,1.66667,1,0.111111,2.11521,1.19313,0.561154,1.8,0.2
4,0,0.1,0.75,1.63458,1,0.133169,2.07705,1.13352,0.626459,1.8,0.2
4,0,0.1,1.1,1.66667,1,0.111111,2.13067,1.21785,0.53698,1.8,0.2
4,0,1,1,1.66667,1,0.139979,1.96724,0.992076,0.8312,1.8,0.2
4,0,1,0.75,1.63458,1,0.158355,1.9671,0.987009,0.841124,1.8,0.2
4,0,1,1.1,1.66667,1,0.133241,1.9673,0.99411,0.827263,1.8,0.2
4,0,10,1,1.58315,1,0.218171,1.95305,0.973931,0.867344,1.8,0.2
4,0,10,0.75,1.57276,1,0.220893,1.95644,0.973439,0.868409,1.8,0.2
4,0,10,1.1,1.58733,1,0.217092,1.95169,0.974128,0.866918,1.8,0.2
4,0,100,1,1.54598,1,0.228106,1.95532,0.972142,0.871103,1.8,0.2
4,0,100,0.75,1.54498,1,0.228395,1.95815,0.972097,0.87123,1.8,0.2
4,0,100,1.1,1.54638,1,0.227991,1.95419,0.972159,0.871052,1.8,0.2
4,0,1000,1,1.54237,1,0.229143,1.96335,0.971976,0.871543,1.8,0.2
4,0,1000,0.75,1.54228,1,0.229174,1.96418,0.971973,0.87156,1.8,0.2
4,0,1000,1.1,1.54241,1,0.229131,1.96302,0.971978,0.871536,1.8,0.2
