,mfgw,mk_rest_l1,mk_rest_l2,mr_rest,mr_upland
mfgw,1.0,0.45625793721646624,-0.41532130075433144,-0.05385062796675424,-0.3838042801516202
mk_rest_l1,0.45625793721646385,1.0,-0.7772242890887965,-0.059129773642046746,-0.6442670953870298
mk_rest_l2,-0.4153213007542659,-0.7772242890886653,1.0000000000000002,0.6703055033790859,0.7964273637475144
mr_rest,-0.053850627966655996,-0.059129773641843845,0.6703055033789355,1.0,0.4555717574138421
mr_upland,-0.3838042801515544,-0.64426709538689,0.7964273637474923,0.45557175741396827,0.9999999999999998
