-6 -6 -6 -6 -6 -6 -6 -6 -6 0 
0 0 0 0 0 0 0 0 0 0 
0 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -9 -9 -9 -9 -6 -6 
-6 -8 -8 -8 -8 -8 -8 -8 -8 -8 
-8 -8 -8 -8 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 
1 1 -7 -7 -7 -7 -7 -7 -7 -7 
-7 -7 -7 -7 -7 -7 -7 -7 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 0 4 4 4 4 4 4 
4 4 4 4 4 4 4 4 4 4 
1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
-9 -9 -9 -9 -9 -9 -2 -2 -2 -2 
-2 -2 -2 -2 -2 -2 -2 -2 -2 -2 
-9 -9 -9 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 5 5 
5 5 5 5 5 5 5 5 5 5 
5 5 5 5 6 6 6 6 6 6 
6 6 6 6 6 6 6 5 5 5 
5 5 5 5 5 5 5 2 2 2 
2 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 2 2 2 2 2 
2 2 2 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 -8 
-8 -8 -8 -8 -8 -8 -8 -8 -8 -8 
-8 -8 -8 -8 -8 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 1 1 1 1 1 1 1 
1 1 1 1 1 1 -9 -9 -9 -9 
-2 -2 -2 -2 -2 -2 -2 -2 -2 -2 
-2 -2 -2 6 6 6 6 6 6 6 
6 6 6 6 6 6 6 6 3 3 
3 3 3 3 3 3 3 3 3 3 
3 3 3 3 10 10 10 10 10 10 
10 10 10 10 10 10 10 7 7 7 
7 7 7 7 7 7 7 7 7 7 
7 7 7 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 1 1 
1 1 1 1 1 1 1 1 1 1 
1 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 7 7 
7 7 7 7 7 7 7 7 7 7 
7 7 7 7 7 7 7 7 7 7 
7 5 5 5 5 5 5 5 5 5 
5 6 6 6 6 6 6 6 3 3 
3 3 3 3 3 3 3 3 4 4 
4 4 4 4 4 4 4 4 1 1 
1 1 1 1 1 1 1 1 3 3 
3 3 3 3 3 3 3 3 8 8 
8 8 8 8 8 8 8 8 8 8 
8 4 4 4 4 4 4 4 4 4 
4 4 4 4 4 4 4 9 9 9 
9 9 9 9 9 9 9 9 9 9 
9 9 9 7 7 7 7 7 7 7 
7 7 7 7 7 7 7 7 7 2 
2 2 2 2 2 2 2 2 2 2 
2 2 2 2 2 -9 -9 -9 -9 -9 
-9 -9 -9 -9 -9 -9 -9 -9 0 0 
0 0 0 0 0 0 0 10 10 10 
10 10 10 10 10 10 10 10 10 10 
9 9 9 9 9 9 9 9 9 9 
9 9 9 9 9 9 8 8 8 8 
8 8 8 8 8 8 8 8 8 8 
8 8 9 9 9 9 9 9 9 9 
9 9 9 9 9 9 9 9 9 10 
10 10 10 9 9 9 9 4 4 4 
4 4 4 4 4 4 4 4 4 4 
4 4 3 3 3 3 2 2 2 2 
4 4 4 4 4 4 4 4 4 4 
6 6 6 6 6 6 6 6 6 6 
5 5 5 5 5 5 5 5 5 5 
5 5 5 2 2 2 2 2 2 2 
2 2 2 2 2 2 5 5 5 5 
5 5 5 4 4 4 4 4 4 4 
8 8 8 8 8 8 8 8 9 9 
9 9 9 9 9 9 12 12 12 12 
9 9 9 9 9 9 9 9 9 9 
9 9 9 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 0 0 0 0 0 
0 0 0 0 0 0 0 0 -9 -9 
-9 -9 -9 -9 -9 -9 -9 -9 -2 -2 
-2 -2 -2 -2 9 9 9 9 9 9 
9 9 9 9 9 9 9 9 9 9 
9 9 9 9 9 9 9 10 10 10 
10 9 9 9 9 8 8 8 8 5 
8 8 8 8 7 7 5 6 6 6 
6 0 0 0 0 0 0 0 0 0 
0 7 7 7 7 7 7 7 8 8 
8 8 8 8 8 8 8 8 8 8 
8 8 8 8 8 8 8 8 4 4 
4 4 4 4 4 4 4 4 5 5 
5 5 5 5 5 5 5 5 6 6 
6 6 6 6 6 5 5 5 5 5 
5 5 11 13 13 12 12 3 3 3 
3 3 3 3 10 10 10 10 10 10 
10 10 10 10 10 10 10 -7 -7 -7 
-7 -7 -7 -7 -7 -7 -7 -7 -7 -7 
-7 -7 -7 -6 -6 -6 -6 -6 -6 -6 
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 
